待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
劇場公開しろ,在剧场公开吧
片親パンであり元ネタであるドラえもんの暗記パン,是单亲面包也是neta的哆啦A梦的记忆面包
元通りではないからほらねが無い！？,不是回到原样了所以没有“你看吧”！？
タピオカパン,珍珠奶茶面包
暗記クリームパン,记忆奶油面包
最終話だけ無限に周回してる,只有最终话在无限循环
ここ暗記パンのパロディ？,这里是记忆面包的戏仿？
よくわかんないけどなんかわかった,虽然搞不懂但总觉得懂了
ED歌手、力強い声も魅力的じゃん！,ED歌手，有力的声音也很有魅力嘛！
タコピーにとって100円のクリームパンは愛そのものだったんだよな,对小章鱼来说100元的奶油面包就是爱本身吧
こんなん泣くわ,这样会哭的啊
ビターやなぁ…,真苦涩啊…
アニメ化はよくやった。タイザンも力及ばずだが逃げずに描き切った。その二点だけはすごいと思う,动画化做得很好。TAIZAN虽然力有不逮但没逃避画完了。光是这两点就很厉害了
暗記できない、表現神か,记不住，表现是神吗
ハッピー道具　暗記クリームパン,Happy道具　记忆奶油面包
使えねぇ暗記パン,用不了的记忆面包
暗記パンをdisってきた,dis了记忆面包
やはり喜多郎は天才だった,果然鬼太郎是天才
君の頬の線を,你的脸颊的线
君の頬の線を,你的脸颊的线
「100円のクリームパンじゃ愛が何か暗記できない」は暗記パンのオマージュか,「100元的奶油面包没法记住爱是什么」是记忆面包的致敬吗
待ってくれ…ここまで耐えてたのにこの歌詞で一気に涙腺壊れた…どうしてくれるんだ…,等等…到这里都忍住了，因为这句歌词泪腺一下子坏了…怎么办啊…
猫型ロボットの暗記パンとかけてる？,是和猫型机器人的记忆面包联系起来了吗？
君の頬の線をなぞる。僕が魔法になるから、理由になるから。,描摹你脸颊的线。因为我会变成魔法，变成理由。
クリームパンどころか食パンだったな,别说奶油面包了是吐司面包吧
100円のクリームパンじゃ、愛がなにか暗記できない。なんて歌詞なに食ったら思いつくの……,100元的奶油面包，是没法记住爱是什么的。 这种歌词是吃了什么才能想出来的……
君　の　頬　の　線　を,你　的　脸　颊　的　线　を
1話から最終回までまとめた映画やって欲しい...,希望出一部从第1话到最终回总结的电影...
時間巻き戻したからスタッフロールも上からか,因为时间倒流了所以staff roll也从上面来了吗
普通に良い曲すぎる,普通地太好听了
元通りじゃなくてよかった,不是回到原样太好了
ここの歌詞でエグいくらい泣く,因为这句歌词哭得稀里哗啦
親を頼れなくても友達がいれば,就算不能依靠父母只要有朋友在
そんなことはない気がするのはオレだけか？（いい歌詞だけど,只有我觉得不是那样吗？（虽然是好歌词
なくほどのものか？,是值得哭的事吗？
君の頬の線をなぞる。,描摹你脸颊的线。
タコピーは思い願うことしか出来なかった。でもそれで良いんだ,小章鱼只能祈祷。但那样就好了
よかったっピ,太好了pi
誰が悪いとかそういうんじゃない,不是谁的错之类的
なる、見上げるための逆スクロールか斬新だな,是吗，为了让人仰望的反向滚动吗真崭新啊
2番ほんまありがとう,第2段真的谢谢你
いわゆる片親パン,所谓的单亲面包
暗記パンとかけてる考察もあったね,也有和记忆面包联系起来的考察呢
まだまだハッピーエンドには遠いけどちょっと悪くないエンドになった,虽然离Happy End还很远但变成了稍微不坏的End了
これもへけぇぇぇぁぁぁいいァァァ,这个也嘿嘿嘿欸欸欸欸欸欸欸欸欸
たまたまうまく行っただけやん！,只是偶然顺利了嘛！
無難な着地だったな,是无难的收尾呢
エンディングやばい　泣いた,结尾牙白　哭了
暗記パン食えよ。,吃记忆面包啊。
自分以外の相手から貰ったことがええんやろ、理解できない相手だからこそ価値がある,是从自己以外的对方那里得到的才好，正因为是无法理解的对方才有价值
最終回、？,最终回，？
感動,感动
いい感じに終わってるけど家に帰ったら地獄なのは変わらんだろ,虽然很好地结束了但回家后是地狱这点没变吧
子供たちはこれからも苦悩し死にたいと思っても、”確かにいた何か”のお陰で生きていける,孩子们今后也会苦恼想死，但多亏了“确实在过的什么”才能活下去
フル聞いてくれ頼む,拜托了去听完整版
ガラスが漢字になってる,玻璃变成汉字了
完全なハッピーエンドじゃないところがエモ,不是完全的Happy End这点很emo
なぞる。僕が,描摹。我
なぞる僕が。,描摹我。
涙腺は死んだ,泪腺死了
な ぞ　る　。　僕　が,描　摹　。　我
「片親パン」と「アンキパン」をかけるのめっちゃタコピーだな,把「单亲面包」和「记忆面包」联系起来很小章鱼呢
いいアニメだった...,是好动画...
下にスクロールしてたら下に向かって見ちゃうんじゃ？,往下滚动的话会朝下看吧？
暗記１００円クリームパンを使おう,用记忆１００元奶油面包吧
東京いくなら,去东京的话
ドOえもんに,去哆Oえもん那
道具かしてもらえ,借道具吧
漢字になってね？,变成汉字了？
100円のクリームパンどころか給食のパンで救われてたタコピーよ...,别说100元的奶油面包了，是被供餐的面包拯救了的小章鱼哦...
硝子の線になってる…,变成硝子の線了…
“がらす“が漢字表記になっとる…EDまで細すぎるんだよな,“がらす“变成汉字表记了…连ED都太细致了
僕が魔法になるから。,因为我会变成魔法。
消されとるやんｗ,被消除了嘛w
希望を見出したくなる結末は良い結末だ,让人想看到希望的结局是好结局
1周でやめるなよタコピー,别1周目就放弃了啊小章鱼
原作は10周してボロ泣きした、なんか最初はそうでもなかったのに,原作看了10周号啕大哭，总觉得一开始没什么感觉的
エンディングやばい　泣いた,结尾牙白　哭了
タコピー同士で貰ってもそれは当たり前のほらね。理解できない相手ならありがとうやで,从小章鱼同士那得到的话是理所当然的“你看吧”。是无法理解的对方的话就是谢谢了
めっちゃいいアニメ化だった,是非常好的动画化
地獄が終わる・・・,地狱结束了・・・
カラオケ確定,卡拉OK确定
硝子になってる？,变成硝子了？
←うまくいかない100回以上のルートの末だぞ,←是不顺利的100多次loop的末尾哦
ここの歌詞で涙腺崩壊,因为这句歌词泪腺崩坏
くりーむぱーん？！,奶油面—包？！
やっぱこの曲神だよな,果然这首歌是神曲啊
視点を上にもってくの良いな,把视点往上带很好呢
Telaさん、、ありがとう,Tela桑、、谢谢你
前々から硝子の線の方は公開されてたけど最後に使ったんか,之前硝子の線就已经公开了，是在最后用了吗
硝子になってる！,变成硝子了！
魔法になるから。理由になるから。,变成魔法。变成理由。
必要だった おはなし のきっかけをタコピーは作ってくれた,需要的 聊天 的契机是小章鱼创造的
僕が魔法になるから,我会变成魔法
歌詞いいな,歌词真好啊
魔　法　に　な　る　か　ら　、,变　成　魔　法　、
タコピーは2人を繋ぎ止める共通の記憶になったのか,小章鱼变成了连接两个人的共同记忆
そしてシスターフッドになっていくのかな,然后会变成姐妹情谊吧
一回じゃ咀嚼できないタイプのアニメだ,是一遍没法咀嚼的类型的动画
涙の線とも,也和眼泪的线
エンディング名が変わってる…,结尾名变了…
EDフルくっそ良くて草,ED完整版太好了草
挿入歌は？,插曲呢？
面白かったな,很有趣呢
今までありがとうございました,至今为止谢谢你了
この曲英語だと「Glass lines」だから、3人の心の傷を「硝子の線」で表現してるんだろうな,这首歌英语是「Glass lines」，所以是用「硝子の線」来表现3个人的心伤吧
ハッピー星どれ？,Happy星是哪个？
久しぶりの神アニメだった。ありがとう,是久违的神动画。谢谢你
夏にはピッタリ,很适合夏天
エンディング名が変わってる,结尾名变了
演出がジョジョ六部みたい,演出像jojo六部一样
タコピーの自己犠牲によって魔法になったんやな,是小章鱼的自我牺牲变成了魔法呢
なるほど、見上げてるからこういう流れ方なのか　宇宙のどこかにあるハッピー星を見ようとしてるのかも？,原来如此，因为是仰望所以是这样的流动方式吗　可能是在试图看宇宙某处的Happy星吧？
タコピーのエンディングタコピーそのままのエンディングよね…,小章鱼的结尾是小章鱼本来的结尾呢…
凄い映像と声優の神演技が合わさって最強になりました（泣,厉害的影像和声优的神演技合在一起变成最强了（哭
劇場公開してほしい,希望在剧场公开
「僕が魔法になるから」,「我会变成魔法」
歌詞良すぎ,歌词太好了
タコピーは魔法となったのだ魔法の魔法にな,小章鱼变成了魔法　魔法的魔法
本当にこのアニメをお前らとみえてよかったありがとう,真的能和你们一起看这部动画太好了谢谢
原作どっかで読むわ,去哪里读读原作吧
世界中の毒親に見せたい,想给全世界的毒亲看
"僕が"魔法になるから……；；,“我”变成魔法……；；
歌詞コメがタコピー色になったところで涙腺決壊した,歌词评论变成小章鱼色的时候泪腺决堤了
二人は似た者同士だから仲良くは出来そうだよね。東君は関わっちゃ駄目。,两个人是相似的人所以能关系变好吧。东君不能扯上关系。
この歌詞やばい,这句歌词牙白
OPもEDもフルで聴いてほしい、頼みます,OP和ED都希望听完整版，拜托了
タコピー自身が魔法に,小章鱼自身变成了魔法
魔法になるから……ハッピーカメラをハッピー力で動かしたことなのかな,变成魔法……是用Happy力动了Happy照相机的事吗
理由になるから。,变成理由。
幾分かマシな世界にはなったよな,变成稍微好点的世界了呢
最後にタコぴが二人をつなげた,最后是章鱼P连接了两个人
ほらねがないよぉぉぉぉぉ…,没有“你看吧”哦哦哦哦哦…
理　由　に　な　る　か　ら　。,变　成　理　由　。
理由になるから,变成理由
歌詞良すぎ,歌词太好了
硝子の線ってなんか良いな,硝子の線总觉得很好呢
初めから終わりまで一切の無駄がないし、何回も見返して隅々まで物語を味わえる。6話完結で本当に良かった,从开始到结束没有一点多余，能反复看细细品味故事。6话完结真的太好了
こんな良い曲だったっけ...,是这么好的曲子吗...
タコピーは魔法になったのだ魔法の魔法にな,小章鱼变成了魔法　魔法的魔法
「僕が魔法になる,「我变成魔法
原作読んでたけど内容忘れてたから普通に感動できた,读过原作但忘了内容所以普通地感动了
ここの歌詞で涙溢れ出た,因为这句歌词眼泪流出来了
なれたのね…なかよしリボンに,变成了呢…和好缎带
理由になるから。,变成理由。
根本的には救われることの無い2人が互いに支え合う関係になれたのは最高にハッピーなエンドだよ,根本上得不到救赎的2个人变成了能互相支持的关系，是最Happy的End哦
Teleほんますこ、カルト1番すこ,Tele真的喜欢，最喜欢cult
君の頬の線をなぞる'僕'がタコピーなんだね,描摹你脸颊的线的“我”是小章鱼呢
👏👏👏,👏👏👏
歌詞で涙溢れてくる,因为歌词眼泪流出来了
原作+アニメリアルタイム感謝,原作+动画实时感谢
下から上じゃなくて上から下なのが巻き戻ってるみたいで素敵,不是从下到上是从上到下像倒流一样很棒
僕が魔法になるから,我会变成魔法
「理由になるから」,「变成理由」
ここタコピーの決意,这里是小章鱼的决心
銀だことコラボしてくれタコピー,和银章鱼联动吧小章鱼
タコピーは二人を繋ぐ魔法の理由であれば良かったんやなって,小章鱼只要是能连接两个人的魔法的理由就好了呢
共通の記憶という繋がり→まさにハッピーリボンだっぴｗ,共同的记忆这个连接→正是Happy缎带piw
あぁタコピー色…やめろ泣くわ,啊啊小章鱼色…别这样要哭了
でもやっぱりタコピーも一緒にハッピーになってほしかったんだよ俺達は,但是果然还是希望小章鱼也一起Happy的啊我们
話をしようよ、,聊天吧，
硝子の線　この作品のための歌すぎる,硝子の線　太为了这部作品的歌了
おはなしがハッピーを生むんだっピね,聊天会产生Happy的pi呢
ほんとに魔法になるやつがあるか,真的有变成魔法的家伙吗
本当に魔法そのものになるやつがあるか,真的有变成魔法本身的家伙吗
話を,聊天
EDのフルはマジで別物,ED的完整版真的不一样
神曲やんけ,是神曲嘛
まどマギEND,小圆END
最後まで最高だったよありがとうタコピー,到最后都最棒了哦谢谢你小章鱼
この歌こんなかんじなのか... 買おう,这首歌是这种感觉吗... 买吧
お前にも幸せになってほしいよタコピー…；；,也希望你幸福哦小章鱼…；；
歌詞の通り過ぎて泣ける,太和歌词一样了要哭了
ハッピー星人犠牲にしないと仲直り出来ないくらい面倒臭い地球人達,不牺牲Happy星人就没法和好的麻烦地球人们
しようよ,吧
話をしようよ,聊天吧
タコピーが仲直りするための「理由」になったんだな,小章鱼变成了和好的「理由」呢
「魔法」は誰かと話すこと。話すこと、会話することが大事だったとテーマが一貫してる。,「魔法」是和谁聊天。聊天，对话很重要，主题很一贯。
親世代になると、タコピーの偉大さが痛いほど分かる,到了父母那代，就会痛切地明白小章鱼的伟大
あぁタコピー色…やめろ泣くわ,啊啊小章鱼色…别这样要哭了
べ、別に泣いてないし、,才、才没哭呢，
おつ！ おもしろかった！,辛苦了！ 很有趣！
原作より感動した,比原作还感动
EDいいな,ED真好啊
話をしようよ、,聊天吧，
鼻★塩★塩,鼻★盐★盐
泣くわ,要哭了
これ6話あわせて映画でもよさそうだね,这个合起来6话拍成电影好像也不错
映画館行き決定、カンヌ取るぞ,电影院行き决定，要去拿戛纳奖了哦
お前にも幸せになって欲しかったんだよタコピー…；；,也希望你幸福啊小章鱼…；；
何回巻き戻したかの描写無いね,没有倒流了多少次的描写呢
おはなしがハッピーを生むんだっピ,聊天会产生Happy的pi
こんなに原作愛に溢れたアニメにしてくれて感謝しかない,做成这么充满原作爱的动画只有感谢
話をしようよ,聊天吧
←映画館のスクリーンで見たい気持ちはあるなぁ…,←在电影院的屏幕上看的心情是有的呢…
まだまだ課題は山積み。それでも「ちょっと悪くない」にはなったよ。ありがとうタコピー,虽然课题还堆积如山。即使如此也变成「稍微不坏」了哦。谢谢你小章鱼
ぁ,ぁ
視線誘導…!?最後まで無駄のない演出やばすぎ,视线引导…!?到最后都没有多余的演出太厉害了
EDの歌詞本当に素敵だな,ED的歌词真的很棒呢
幸せになってくれ・・・,希望你幸福・・・
最高でした！！！素晴らしいアニメをありがとう！！！,最棒了！！！谢谢你完美的作品！！！
ハッピーエンドでは無いけど何かが変わったんだよね　それだけで前を向ける,虽然不是Happy End但有什么改变了呢　光是那个就能向前看了
お話をしよう,来聊天吧
上から流れるの珍しい,从上面流下来真少见
鼻塩塩,鼻盐盐
話をしようよ,聊天吧
すごい、伝説のアニメだ,好厉害，是传说中的动画
対話が真のハッピーへの道標　つまりタコピーもガンダムだ,对话是通往真正Happy的路标　也就是说小章鱼也是高达
泣けた,哭了
でもこれ映画館で一気見せしたら大惨事になる…,但是这个在电影院一口气看了会是大惨事…
マジで好きED,真的喜欢ED
本当に原作絵がそのまま動いてるようで、でも原作をなぞっただけじゃない細かな演出等も魅力的で、最高のアニメ化だった…！,真的原作的画就那样动起来了，但又不是只描摹原作，细致的演出之类的也很有魅力，是最棒的动画化…！
映画館で観たら号泣して周囲の人ドン引きさせちまうよ……,在电影院看的话会号啕大哭让周围的人侧目吧……
タコピーは会話の理由という魔法になったね,小章鱼变成了对话的理由这个魔法呢
OPもフルで聴くとすごいぞ,OP完整版听了也很厉害哦
これ親世代になってから見ると刺さるな,这个到了父母那代再看会很扎心呢
名も知らないスタジオなのに凄い実力だった、素晴らしいアニメ化,明明是不知道名字的工作室却有很厉害的实力，完美的动画化
生きる上での方向を優しく体を張って教えてくれる人間になりたい,想成为能温柔地拼上性命教导生存方向的人
魔法のようには改善しないけどちょっと話せば馴れ合いはできなくても分かり合える、ただそれだけの話,虽然不会像魔法一样改善但只要稍微聊聊就算不能亲近也能互相理解，只是那样的事
映画で放映してくれてもいい作品だった。,是在电影院放映也可以的作品。
がらすも硝子も好きだよ,がらす和硝子都喜欢哦
仲直りというかはお互いがお互いに良き理解者になれると気づいたんだろｗ,与其说是和好不如说是注意到彼此是最好的理解者了吧w
EDフルはMVで見るのおススメ。最初は唖然とするだろうけど,ED完整版推荐看MV。一开始会哑然吧
親から愛されなかった子らを描く作品が作り手から超愛された作品として仕上がるという,把不被父母爱的孩子们描绘的作品，由制作者超爱的作品来完成
まりなちゃんのガラスのトラウマは消えるのかこれからなのか,真理奈酱的玻璃的心理阴影是会消失还是今后呢
ギターかっけえ,吉他好帅
この作者短編うめえんだよなあ,这个作者短篇很厉害呢
とびっきり,超棒的
馬鹿げた事。,傻事。
とびっきり,超棒的
とびっきり馬鹿げた事,超棒的傻事
お話がハッピーを生むんだっピ,聊天会产生Happy的pi
映画館でみてえ,想在电影院看
フリーレンもタコピーもアニメ演出で原作超えしたな,芙莉莲和小章鱼都是动画演出超越了原作呢
ギターが良すぎる,吉他太好了
とびきり馬鹿げた事。,超棒的傻事。
結局ネット民はなんでタコピー叩いてたんだよ...泣く,结果网民为什么敲打小章鱼啊...要哭了
ま、親の問題はどうにかなったわけじゃないから、百合で解決するしかない,嘛，父母的问题也没有解决，只能用百合解决了
公式HP　　大野　輝,官方HP　　大野　辉
メッチャ泣けるwww,超想哭www
最近のアニメは原作最終回まで基本的にやらないからこれは短編なおかげで纏まってたな,最近的动画原作最终回前基本都不会做，这个多亏了是短篇才收得很好
ほらねが無いが,没有“你看吧”吧
劇場編集版出たら見に行くわ,出剧场剪辑版的话会去看的
大体はどちらかが最初から対話を拒否してるだけで、お互いに対話さえできれば変わる可能性はあるんだよね,大体上是一方从一开始就拒绝对话，只要双方都能对话就有改变的可能性呢
ほらねがない（；³；）わ、わからないっピ...,没有“你看吧”（；³；）搞、搞不懂了pi...
←こっそり一ノ瀬の大罪ディスはやめるんだｗ,←别悄悄地dis一之濑的大罪啊w
いち原作ファンとしては満点のアニメ化でした、本当にありがとう,作为一个原作粉是满分的动画化，真的谢谢你
ここがシュタインズゲート世界線ですか……,这里是Steins;Gate世界线吗……
(；3；)劇場版楽しみだッピ,(；3；)期待剧场版pi
お話を,聊天
最高だわ無駄が一切ない,最棒了没有一点多余
ここの壮大な感じ大好きだ,这里的壮大感最喜欢了
タコピーが魔法になったし理由になったね,小章鱼变成了魔法也变成了理由呢
輝く大野最後までありがとう……(成仏),辉く大野到最后都谢谢你……(成佛)
ほとんど何も解決してないけどそれでも少しでもいい方向にいってよかった,基本什么都没解决但即使如此也稍微往好的方向去了太好了
公式HP　大野　輝,官方HP　大野　辉
良いアニメ化だった,是很好的动画化
映画やんこんなの,是电影嘛这个
馬鹿げた事。,傻事。
最高のアニメだった,最棒的动画
ハッピーエンドおおおおおおおおおおおおお,Happy End哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
原作で見るとあまりに突然終わる感じで拍子抜けになるけどアニメだとそれが緩和されてる,看原作的话感觉结束得太突然有点扫兴，但动画里缓和了
これは確かに映画一本で見たかった,这个确实想用一部电影来看
いい歌だ...,是好歌...
これ前回までと同じ曲？,这个和之前是同一首歌？
話塩塩,话盐盐
結末知ってるのにこれは流石に無理...,知道结局还这样实在不行了...
みんなフル聴こうぜ,大家去听完整版吧
GQと並ぶくらいの神作,和GQ并列的神作
素晴らしいアニメだったな,是完美的动画呢
ありがとう、コメ欄のみんながいたからここまで見れた。最高の作品でした。じゃあね、バイバイ！！,谢谢你，和评论区的大家在一起才能看到这里。是最棒的作品。那么，再见啦，拜拜！！
これ良かった,这个很好
ほんとうにありがとう,真的谢谢你
でも山形県は許さない,但是山形县不能原谅
お前らとみえてよかった,能和你们一起看太好了
アニメ化大成功,动画化大成功
本当に泣ける,真的哭了
もっとオリジナル演出と後日談ほしいっぴ,希望有更多原创演出和后日谈pi
6話なのに24話くらいの重さとボリュームがあった,虽然是6话却有24话左右的重量和容量
本当に良かった,真的太好了
このEDが聞きたかった,想听这个ED
ジークアクスの半分の話数でちゃんと纏めた……！,吉克阿克斯一半的话数就好好地收尾了……！
良いエンディングやん…😭,是好结尾嘛…😭
エンディングいいな,结尾真好啊
面白かった…………,很有趣…………
すごいEDだ……,好厉害的ED啊……
結局現罪の意味はタコピーがいなければ首を吊らず不幸ながらも生き延びていたからタコピーがいたせいで不幸が始まったから原罪なのかな,结果原罪的意思是没有小章鱼的话就不会上吊虽然不幸但能活下来，因为小章鱼在不幸才开始了所以是原罪吗
歌ってやっぱ起爆力あるよなあ・・・（いい歌に限る,歌果然有引爆力啊・・・（仅限好歌
えぐいて,太厉害了
何　度　も　、,好　几　次　、
良いアニメ化だった,是很好的动画化
声優さんの凄さをひしひしと感じた作品でした,是让人深切感受到声优厉害的作品
一ノ瀬家の大罪なんて無かったいいね？,一之濑家的大罪不存在的好吗？
ありがとう感動した,谢谢你感动了
ありがとおおぉぉ,谢谢哦哦哦ぉぉ
未来にしずか＆まりなの悪ガキコンビが世界を救うんだよね,未来静香＆真理奈的坏孩子组合会拯救世界呢
ドクダミ　花言葉「自己犠牲」,鱼腥草　花语「自我牺牲」
願いを叶えたお星さまは 流れて消える,实现了愿望的星星 流逝消失了
別に原作と印象そこまで変わらんけどな,倒也没和原作印象差那么多
いい最終回だったッピ,是很好的最终回pi
時が遡ったからスタッフロールが逆向きなのかな,因为时间倒流了所以staff roll是反的吗
傑作だろ,是杰作吧
最後まで見てね,看到最后哦
続編ないのこれ,没有续篇吗这个
なんか声の緩急が逆再生に寄せてるように聞こえるのは俺だけ？,只有我觉得声音的缓急像是为了配合倒放吗？
映画でやったら、被害者増える説,在电影院放的话，受害者会增加说
ありがとうだっぴ、、,谢谢你pi、、
タコピー好きな人は読みきりの「キスしたい男」好きだと思う,喜欢小章鱼的人我觉得会喜欢短篇的「想kiss的男人」
最終回じゃないよな？な？,不是最终回吧？呢？
1クール12話にせず6話で構成したのは英断だなぁ,不做1季12话用6话构成是英明的决断
覇権アニメ,霸权动画
タコピーが原罪を負っていたかは分からんが少なくとも親の因果によってしずか達が負わされてた原罪をタコピーが持ってってくれたんじゃないかな,小章鱼有没有背负原罪不知道，但至少因为父母的因果静香她们背负的原罪被小章鱼带走了吧
透明な光,透明的光
もう終わりか…,已经结束了吗…
最高だった！ありがとう！！！,最棒了！谢谢你！！！
賛否はあるかもだがジブリクラスの傑作でありヒューマンアニメだと思う人生をすごく考えさせられるアニメ,虽然可能有争议，但我觉得是吉卜力级别的杰作和人文动画，是让人深思人生的动画
正直泣きました,说实话哭了
そのうち映画でやるやろうなぁ,总有一天会在电影院放的吧
タコピーのこれまでの行いが(記憶はなくても)二人の心に残ってるからこの結果になったんだな,是小章鱼至今为止的行为(虽然没有记忆)留在了两个人的心里才有了这个结果呢
あーやっぱ好きだわ,啊—果然喜欢啊
俺ハッピー星人目指すわ,我以Happy星人为目标吧
原作読んでたけど納得,读过原作但能接受
まじで最高だった！！素晴らしいアニメをありがとう！！！,真的最棒了！！谢谢你完美的动画！！！
←違う。タコピーの持つ原罪は「おはなし（=相手に対する理解）」を全然してこなかったこと。そもそもそういう考えを持っていなかったこと。,←不对。小章鱼持有的原罪是完全没有「聊天（=对对方的理解）」。说到底就没有那种想法。
これを一瞬でっていうのはループものの見過ぎな気がする,说这个是一瞬间是看太多loop物了吧
完全な理解は不可能だからこんなエンディングだよ！！（泣く,完全的理解是不可能的所以是这样的结尾哦！！（哭
きっかけを与えるって大事だな,给予契机很重要呢
カメラ直す流れが唐突に感じた…,修照相机的流程感觉很唐突…
本当にありがとう,真的谢谢你
全てがハッピーじゃなくても置かれた状況の中で少しのハッピーを見つけるのが救いだよね,就算不是全部Happy，在所处的状况中找到一点Happy就是救赎呢
１２話まで繋げる長さだったら蛇足多くなりそうではある,要是拖到１２话的话感觉多余的部分会变多
終わったのか、,结束了吗，
ハッピー星人が舞台装置だとすると、これって「お前ならこの2人を救えるか？」って話に見えるんだよね、ムズすぎる,Happy星人是舞台装置的话，这个看起来就像是「你能救这两个人吗？」的故事，太难了
繰　り　返　す　。,重　复　。
ちくしょうキレイにまとめやがって,混账漂亮地收尾了啊
ずっとしんどい内容だっけど最終話まで観てよかった,虽然是一直很难受的内容但看到最终话太好了
めっちゃ泣けた！毎週ありがとう,超想哭！每周都谢谢你
賛否はあるかもだがジブリクラスの傑作でありヒューマンアニメだと思う人生をすごく考えさせられるアニメだ…❗️,虽然可能有争议，但我觉得是吉卜力级别的杰作和人文动画，是让人深思人生的动画…❗️
「おはなし」は建設的な話し合いじゃなくて、なんでも話せること聞いてくれること,「聊天」不是建设性的谈话，是能说什么都听什么
極めて非現実な方法で現実的な最善策に至ったと言える,可以说用极其非现实的方法到达了现实性的最佳策略
さらばタコピー,再见小章鱼
タコピーおつかれ,小章鱼辛苦了
(´;3;`),(´;3;`)
b,b
魔法と成った,变成了魔法
ありがそう,谢谢
やべーもう6周目や,牙白—已经6周目了
こんなに激しい曲やったんや,是这么激烈的曲子吗
アニメ凄く力入れてたな,动画非常用心呢
ハッピーエンドではないけど、前より希望が見える,虽然不是Happy End，但比以前更有希望了
原作はこれでええんか…？感あったけどアニメの方が納得感あるな,原作有种“这样就行了吗…？”的感觉，但动画更有接受感
最高の作品をありがとう,谢谢你最棒的作品
製作幹事だけど地上波NGのTBS,虽然是制作干事但在地面波NG的TBS
これ、ひょっとして逆再生？,这个，难道是倒放？
タコピーの原罪は「なにかをすること」だよｗ　何かすれば救われるという考えこそが罪なんだ,小章鱼的原罪是「做什么事」哦w　觉得做什么就能得救的想法本身就是罪
やっぱり製作から愛を感じるアニメはいいものだよね,果然能感受到制作方爱的动画是好东西呢
どうかまた明日がありますように。,希望明天还能再会。
やっぱきれいにまとまってるなぁ　次の作品はハネなかったが・・・,果然收得很漂亮啊　下个作品没火但是・・・
7話はタコピーの漫才ですね,第7话是小章鱼的漫才呢
透明な光。,透明的光。
今度タコピー本編を総編集した劇場版を出して欲しいな…,希望之后出一部小章鱼本篇总编辑的剧场版…
声優さんたち、TBSアニメさんたち、ありがとうございました,声优们，TBS动画的各位，谢谢你们
六週間ありがとう,六个星期谢谢你
映画でも良かったやろ,拍成电影也可以吧
名作やわ,是名作啊
人と人とが出会わないと話にならないじゃないか,人和人不相遇的话故事就不会开始嘛
映画すぎるだろ,太电影了吧
面白かった..,很有趣..
なにひとつ状況は変わってない　でも2人は「お話」をできるようになった,状况什么都没变　但是2个人变得能「聊天」了
透明な光。,透明的光。
EVAよりは理解できる話で良かったよ,比EVA是更能理解的故事太好了
2人の現実は変わらないけど、少なくとも2人は話し相手ができた,2个人的现实没变，但至少2个人有了能聊天的对象
「キスしたい男」、タコピーの後日談含めてOVAになったりせんかな,「想kiss的男人」，包含小章鱼的后日谈，能出个OVA吗
大人達は救われたわけではないけど。,大人们虽然没得救。
ありがとう、最高でした。,谢谢，最棒了。
アニメで初めて泣いた,第一次看动画哭了
北海道の田舎だとこんなに星が見えるのか,北海道的乡下能看到这么多星星吗
仲良くなってよかったっぴ！,关系变好了pi！
タコピーが最後に気づいたのは「理解者になれないこと」これは一生傍にいてもできないというレベル(周回しても無理でした),小章鱼最后注意到的是「成不了理解者」这是就算一生都在身边也做不到的级别(就算周回也不行)
ﾆｬﾝﾄﾞﾓ…,好几次…
映画館で見たら嗚咽して泣く自信がある,在电影院看的话会哽咽着哭自信
2025年アニメで1番やろこれ,2025年动画第一吧这个
タコピー見るのよりもタコピーが終わる方がつらい,比起看小章鱼，小章鱼结束了更难受
幸せに…なれよ…！！,要…幸福哦…！！
素晴らしいアニメをありがとうございました,谢谢你完美的动画
まぁタコピーの力でも毒親たちはもう対話してもどうしようもできないもんな,嘛就算小章鱼出力毒亲们也已经对话也没用了
願いの流れ星,愿望的流星
元凶が邪魔してただけで二人は似た者同士だから、きっかけがあれば仲良くなれる,本来只是元凶碍事了，两个人是相似的人，所以有契机的话能关系变好
急に和解して勝手に終わった,突然和解擅自结束了
すっごいクオリティだったっピ,好厉害的品质pi
ピピピッピ,pippippi
なんども、なんども、,好几次，好几次，
これTBSが主導して作ったのすげえ,这个TBS主导制作的好厉害
え　めっちゃいい曲,欸　是超好的曲子
泣いてるよ,在哭哦
曲のせいか新海誠作品みたいな味わいある,因为曲子的关系有种新海诚作品的味道
カメラ治す流れ打ち切りだろほぼ,修照相机的流程基本是腰斩了吧
俺も仲良しリボンになりたいわ,我也想变成和好缎带
おまえ・・・消えるのか・・・？,你・・・要消失了吗・・・？
優里感,优里感
初めてアニメで泣いた....,第一次看动画哭了....
製作幹事だけど作品の内容最優先で敢えて地上波で流さなかったTBS,虽然是制作干事但最优先作品内容，敢不在地面波播出的TBS
ガラスの傷は避けられないけど今度はシズカが横にいるから,玻璃的伤是无法避免的，但这次静香在旁边所以
繰り返す,重复
繰　り　返 す　。,重　复　。
正論君に出番をくれ,给正论君出场机会
TBSテレビとジャンプ＋からのお前らへのメッセージだったんだろうこのアニメは,这个动画大概是TBS电视台和Jump+给你们的message吧
