就是这张脸,この顔です
虽然是真的冒牌货，但要是没换人的话就是不得了的人格否定哦…,マジで偽物だったけど、入れ替わってなかったらトンデもねぇ人格否定だぞ…
是老一套了嘛我知道哦,いつものやつじゃん知ってるよ
像关系好的团伙里的欺凌者会说的话一样「我们关系好吧？会原谅我的吧？」,仲良しグループのフリしたいじめっ子が使う言葉みたいだな「私達仲良しでしょ？許してくれるよね？」って
过敏性肠症候群,過敏性腸症候群
喜欢的话就别打啊章鱼,好きなら殴るなタコ
煤气灯效应的范本,ガスライティングのお手本
嗯不是好妈妈哦,うん良いままじゃないよ
然后，回来了也当然会虐待吧,で、帰って来たら当然の様に虐待するんやろなあ
情绪,情緒が
不是暴露了，是茉莉奈一反抗就会说吧,バレてるんじゃなくてまりなが反抗する度に言ってたんじゃないかな
活该,ザマミロ
儿童保护设施的孩子的父母也经常说这种话,児童保護施設の子の親もよくこういうこと言う
骗子,うそつき
DV亲常有的打了之后说对不起,DV親あるある殴ったあとのごめんね
闭嘴啊,黙れや
扇了巴掌还说回来吗...,ビンタしといて帰って来てか...
父亲那边还算好的嘛！,父親の方がマシやんけ！
把这父母也杀了呗,もうこの親も〇そうぜ
你的沙包早就进土里了哦,テメェのサンドバッグはとっくに土の中だよ
孩子不是你的玩具,ガキはテメエのおもちゃじゃない
章鱼P也要坏掉了哦ー・・・,タコピーも壊れちゃうよー・・・
闭嘴啊你这老太婆,黙れやこのババア
嘛是重视刚才「爸爸那里」发言的话吧,まぁさっきのシーンの「パパのところ」発言を重く見ての言葉だろう
知道生命的重量了吗…,命の重みを知ってしまったか…
但是就算回来了也不会变吧,でも帰ってきた所で変わらないんだろうなぁ
像垃圾一样的父母,ゴミみてーな親
因为你的虐待和迁怒的欺凌被反击死了哦,おまえの虐待からの八つ当たりいじめで反撃されて死にましたよ
太恶心了,気持ち悪すぎる
这个就算对方是章鱼P也很好，对本人也感觉会说,これタコピーだったから良かったけど本物相手にも言ってそう
已经晚了皮,もうおそいぴ
话里没意义,言葉に意味はなさそう
真的哦？,ほんとお？
死了！死了死了死了！死—了—！啊—啊死了！肯定是死了吧臭女人！,死んだ！死んだ死んだ死んだ！しーんーだ！あーあ死んじゃった！死んだに決まってるだろクソ女！
真的为孩子着想的话就放他走吧,本当に子どものこと思ってるなら開放してやってくれ
你的沙包早就进土里了哦,テメェのサンドバッグはとっくに土の中だよ
把尸体还给你哦,死体のまま返してやるよ
要是尸体就行……,死体でよければ……
好厉害的地狱连锁,凄い地獄の連鎖だ
最喜欢(的沙包)所以拜托了！！！,大好き(なサンドバッグ)だからお願い！！！
讨厌这样的DV亲,嫌だこんなDV親
相信这是爱的人会变成毒亲哦,これを愛だと信じるやつが毒親になるんだよ
已经回不来了哦（无慈悲）,もう帰ってこねえよ（無慈悲）
※DV道歉是一套,※DVは謝るまでがセットです
难受,くるしい
对茉莉奈酱也感觉会说这点看漫画的时候没注意到，太过分了,まりなちゃんにも言ってそうは漫画の時気づかなかったわ、エグいな
说的事本身是正确的…,言ってること自体は正しいのが…
章鱼P要坏掉了,タコピーこわれる
就算里面是外星人，也会察觉到变了吧,中身が宇宙人なんて発想はなくても変わってしまったことは気づくわな
母亲全都看穿了但察觉到的时候已经晚了,母親は全て見抜いてるが気づいた頃にはもう遅い
就算被面前DV和虐待，被说最喜欢的话还是会依靠的啊,面前DVや虐待を受けてもなお大好きなんて言われたら縋ってしまうんだよなあ
茉莉奈已经不在了・・・,まりなはもう居ないんだ・・・
同样的台词，感觉对本人也说过,同じセリフ、オリジナルにも言ってそう
※不是看穿是冒牌货，只是人格否定发言碰巧说中了,※人格否定発言がたまたま的を得ただけで偽物と見抜いたわけではない
因为妈妈才死的,ママのせいで死んだんだよ
总之，先把手指和脖子以上还给她？,とりあえず、指とか首から上だけでも返してあげたら？
这家伙是什么,何やこいつ
嘛已经变成回不来的人了(笑),まぁ帰らぬ人になっちゃってるけどね(笑)
不要,嫌です
（明明打了是真的毒亲的范本,でも殴るの本当に毒親のお手本だわ
啊—这是典型的双重束缚吗,あーこれ典型的なダブルバインドなんか
(・。・),(・。・)
哦，用扑杀的尸体还给你哦（鬼畜）,おう、撲殺遺体で返してやるよ（鬼畜）
(变成对我方便的女儿),(都合の良い娘になって)
是你去啊,お前が行くんだよ
我觉得是对本人也说过这话把茉莉奈逼到绝境的吧,これ本物にも言って追い詰めてまりながなったんだろうとは思う
这里真的不管哪种解释都很过分,ここほんとどっちにでも取れるのが質悪い
※已经回不来了,※もう帰ってきません
知道了真相的话看起来很正常，但实际上是疯狂的言行…,真相が分かっているとまともに見えるが実際は狂ってる言動よな…
话说，最难开口，希望你注意到的时候却注意不到呢,そもそも、1番話しづらくて、気づいて欲しい時に気づいてくれないんですよね
因为你搞的忽视才死的哦,お前がやったネグレクトが原因で死んだよ
这母亲只是想要顺从时的孩子吧？,この母親は従順だった頃の子供を欲しているだけでは？
不用听那种话哦，是妈妈和本物茉莉奈的问题w,そんなん聞かなくていいよママとホンモノのまりなの問題だしｗ
住手DV,やめろDV
不因为是母亲所以才懂的吧,いや母親だからわかるんでそ
怎么可能是真的。只是沉醉在爱着女儿的自己，或者认知扭曲暂时这么觉得而已,本当なわけあるかあ。娘を愛してる自分に酔ってるか認知歪んで一時だけそう思い込んでるだけよ
是真的很爱吧……,愛してるのは本当なんやろね……
不矛盾了,いや矛盾してる
知道了那点还不改的话，笨蛋是死也治不好的，该死了,そこまでわかってて変わらないなら、馬鹿は死ななきゃ治らないし死ぬべきだな
这样把罪恶感推过来很真实,そうやって罪悪感を押し付けてくるのリアル
就算回来了也会再打的嘛,帰ってきてもまたどつくやん
太迟了皮！,遅すぎるッぴ！
带你去茉莉奈酱那里皮,マリナちゃんの所に連れて行くっぴ
这不是察觉到是冒牌货，是把对孩子的人格否定当成状况上的真实了吧？,これ偽物と気づいたわけじゃなくて子供相手に人格否定してるのが状況的に真実だったって事だよね？
难道，别还尸体哦？,まさか、死体返すなよ？
在茉莉奈面前做这个，只是在威胁说不回到以前的样子就做同样的事吧？,これをまりなのいる前でやってるあたり前のに戻んねぇと同じことするぞって脅してるだけでは？
被这个感化的人有DV受害者的素质哦,これで絆されてる人はDV被害者の素質あるよ
好，送到同一个地方去吧！,おし、一緒のところに送ってやろうぜ！
忽视的意思不对吧？是放置吧,ネグレクトの意味違わない？放置することでしょ
没暴露。只是坏掉了而已。,バレていない。それだけ壊れちゃっている。
首先因为父亲是那样才变成这样的，评价人的时候要从根本的背景考虑啊,まず父親がああだからこうなってる　人を評価する時は根本の背景から考慮せんとあかんわ
嘛就算回来了你也不会变吧,まぁ帰ってきても変わんねえだろお前
哭了,ないてしまった
那家伙就算没注意到也说过，不愧是别人所以察觉到了吧　那是那回事，就算对本物茉莉奈也可能会做类似的事而已,あの人は気づきもしなくてもとか言ってるし流石に別人なのに気づいてはいるでしょ　それはそれとして本物のまりなでも似たようなことはしかねないというだけで
管你啊臭女人,知るかヴァカ女が
不，好难受…,いやきっっつ…
是说心有灵犀一点通的意思,ツーといえばカーと鳴けって意味だ
回来≒变回以前一样顺从的意思吧,帰ってきて≒前みたいに従順になれってことよなぁ
不知道对方是谁还打，是感情优先在行动啊,相手が何者かわからんのに殴るって感情優先で動いてるなあ
大概这句话过去也对茉莉奈本人说过好几次所以很血腥,たぶんこの言葉も過去に何回もまりな本人に言ってるからグロい
能敲好的只有电视和章鱼P哦,叩いて直るのはテレビとタコピーだけだぞ
不没察觉到吧。是只要对自己不方便就会这么做的家伙哦,いや気付いてないだろ。自分の都合が悪くなればやるやつだよ
嘛，单方面的爱只要本人这么觉得就能成立,まぁ、一方的な愛なんて本人が思い込んでるだけで成立するし
报应来了呢,報いが返ってきちゃったねぇ
评论好可怕,コメントの方も恐い
「爸爸没注意到但」只是想贬低他才说的，和Tassel那事一样,「パパは気づかないけど」はこき下ろしたくて言ってるだけ、タッセル当たった件と一緒
不是说出来了吗…,言えたじゃねぇか…
已经死了啊,もう死んだんだよなあ
默默地听话，从森林里带回来不就解决了嘛！,黙って話も聞いてくれるし森から持って帰ってやれば解決だな！
像不良少年捡了猫一样的情况,ヤンキーが猫拾ったみたいな状況
草啊啊啊啊啊啊,草ｧｧｧｧｧｧ
孩子不是所有物,子どもは所有物じゃない
是想要选择自己的茉リ奈酱吗皮？,自分を選んでくれるマリナちゃんが欲しいッピかぁ
不不这个在死之前就说过了吧，看穿了什么的脑袋是HAPPY星人吗,いやいやこれ死亡前から言ってたでしょ見抜いたとか頭ハッピー星人かよ
喜欢的话就别打啊,大好きなら叩くなよ
这是惯用手段还是真的第一次说，不知道吧,これが常套手段か本当に最初に言ったかはわからんだろ
人类的情绪也就这样了！这种程度是家常便饭的范畴！,人間の情緒なんてこんなもんだよ！これくらい日常茶飯事の範疇や！
啊好难受,あっつらい
茉莉死了的夏天,マリがしんだ夏
茉莉奈本人不听话的时候也这么说过吧・・・,マリナ本人が言う事聞かなかったときもこう言ってたんだろうな・・・
现实中干脆地说是DV混蛋是生存方法哦,リアルではうるせえDV野郎って切り捨てるのが生存方法だゾ
DV后会变温柔的家伙,DVの後に優しくなるやつ
要是对真正的茉莉ちゃん也说这个的话就没救了w,本当のマリちゃんにもこれ言ってるんだとしたらもう手に負えないw
因为对方是章鱼P所以扎心了，但感觉对本人也做过・・・,タコピー相手だから刺さってるけど本人にもやってそうだな・・・
这样的话就算静香酱没用和好缎带自杀，茉莉奈酱自己也很有可能因为恶劣的家庭环境绝望而自杀,これしずかちゃんが仲直りリボンで自害した後でも、まりなちゃん自身も劣悪な家庭環境に絶望して自害する可能性高い
在这里分成“知道了”派的乐观队和“错乱”派的悲观队,ここで判ってる派の楽観チームと錯乱派の悲観チームに解釈が分かれるんだよな
独善不是爱,独善は愛なんかじゃない
DV就是这种感觉,DVってこんなかんじ
打人是教育皮呢！用心理解了皮…,叩くのは教育なんだっピね！心で理解できたっピ…
不，这里是直觉上察觉到不是本人,いや、ここは直感で本人じゃないって気づいた
恐怕是DNA变身的另一个拷贝身上没有自己造成的伤痕所以注意到了吧,おそらくDNAで変身した他コピーに自分がつけた傷跡などが無かったので気が付いたと思われる
歇斯底里特有的惯用句笑不出来,ヒス持ち特有の常套句でワロエナイ
其实真的是这次才注意到的，因为疯狂所以确信了。…要是那样就好了,実は本当に今回だけ気づいた、狂っている故確信できた。…だったらいいけど
太迟了皮,おそいっぴ
还尸体,死体返せ
在这里说看穿了注意到了是真的的话不愧是牙白皮哦,ここで見抜いたとか気づいたとかマジで言ってるのは流石にヤバいっピよ
好真实啊，心悸停不下来,リアルだよなぁ、動悸がとまらん
我觉得原创茉莉奈也是用这招被逼着站妈妈这边的,オリジナルまりなもこの手口でママの味方やらされてたと思う
已经不在了哦,もういませんよ
到底是在哪里搞错的呢…,いつボタンを掛け違えちゃったんだろうね…
可怜所以带你去和女儿一样的地方皮,可哀想だから娘と同じ場所に連れていってやるッピ
在这里放HAPPY的BGM啊,ここでハッピーなBGM流せよ
是你养大的哦,お前が育てたんだよ
茉莉奈已经死了,まりなはもう死にました
但是，又会虐待的吧？,でも、また虐待するんだよね？
爱是真的。那份爱还在不在就不知道了…本人现在可能还那么觉得,愛してたのは本物だった。それが残っているのかはわからん…本人は今でもそう思ってるかも
把这家伙也处理掉吧,こいつも始末しようよ
母亲的意图不明白，但总之扎到章鱼P了,母親の意図は分からんけどとりあえずタコピーには刺さってしまった
不明白茉莉奈妈妈的心情吗？,まりなママの気持ちわからんのか？
本来就觉得有精神虐待，但察觉到了是真的,元から精神的虐待はしてたと思うけど気づいてるのは本当だと思う
绝对不要,絶対嫌です
坏感情是会循环的啊,悪感情って循環するんだよな
←大家在说什么我不明白皮…,←みんな何言ってるのかわからないッピ…
受害者脸EX,被害者面EX
嗯ーーーーん……讨厌皮☆,うーーーーん……やだっぴ☆
垃圾老太婆,クソBBAが
是把不如意的孩子当成别人对待的虐待哦,思い通りにならない子供を別人扱いする虐待だぞ
果然父母是能感觉到的吗,やっぱり親って分かるものなんかな
每次都有很多以为坏人是100%坏的小学生脑，很惊讶,悪い奴は100%悪い的な小学生脳が多くて毎回驚く
已经不在了,もう居ない
好TM难受啊这个,クッソ苦しいなこれ
无视眼前的女儿自言自语,目の前の娘を無視して独り言
还给你皮,返すっぴ
真的好血腥,ほんとグロい
就算回来了也会精神上折磨吧？,戻ってきても精神的に嬲るやん？
已经是尸体了,もう死体だけどな
别求神了去努力啊,神頼みしてないで努力しな
没关系说这种话也只有现在哦,大丈夫こんな事言うの今だけだよ
远因和原因在吵架 草,遠因と原因が喧嘩してて草
是你别DV啊,お前がDVやめろや
明明也有过幸福的时间呢…,幸せだった時間はあったのにね…
一条ガチ草,一条ガチ草
想吐,吐きそう
是喜欢婴儿时期的茉莉奈的毒亲吗？,赤ん坊の頃のマリナが好きだった毒親とかか？
虽然不知道有没有察觉到，但只要不顺心也会对亲生女儿施暴的,気づいているかどうか分からないけど気に食わなかったら実の娘にも暴力振るってたで
不，DV的人的思考说到底只有自己哦？,いやDVする人間の思考ってあくまで自分オンリーだぞ？
被这个骗的家伙,これで騙される奴
垃圾章鱼，别还哦,タコカス、返すなよ
不管怎么拼命否定，母亲是「察觉到了」呢,いくら必死に否定しても、母親は「気づいてる」んだよね
虽然是垃圾家庭没错，但也有过关系好的时候，所以茉莉奈也更难受吧,クソ家庭なのは間違いないけど仲がいいときもあったからまりなも余計キツかったんだろうなこれ
不管有什么内情都不能成为欺凌正当化的理由,どんな裏事情があってもいじめを正当化する理由にはならんがな
话说结果Tassel是什么鬼,でも結局タッセルってなんだよ
普通地只是因为孩子不如意所以就真的觉得那不是孩子了吧,普通に思い通りに子供が動かなかったからそんなのは子供じゃないって本気で思ってるだけだろ
已经是尸体了哦,もう死体やで
…什么表情啊…章鱼P！,なんて顔・・・してやがる・・・タコピー！
期待海外的反应,海外の反応楽しみだ
啊啊、、、,あぁ、、、
失去了才注意到皮呢,失ってから気づくっぴね
去医院比较好吧茉莉妈妈,通院した方がいいだろマリママ
为打了人道个歉,殴ったことをｱﾔﾏｯﾃ
为章鱼P的教育人生,タコピーのための教育人生
嘛不过病了的父母就是这种思考吧，我是这么觉得,まぁでも病んでる親はこんな思考なんだろなとは思う
静香酱和东君都不教他，所以只能以这种形式了解人类的感情,しずかちゃんも東くんも教えてくれないから、こういう形でしか人間の感情を知ることができない
哪张嘴说的、、,どの口が、、
是毒亲操作还是真的察觉到了，搞不懂,毒親ムーブかガチで気付いたのかどっちかわからん
这也是原罪吗,これも原罪か
BadEnd,BadEnd
死了之后别让人看这个,タヒんだ後でこんなもん見せんな
发色？,髪色が？
这漂亮的金发从哪来的,このきれいな金髪どっからきたのよ
要是在家里得到满足的话是不会欺凌的啊,家庭で満たされてたらいじめはしてないんだよな
以前是真的幸福家庭呢,昔は本当に幸せ家族だったのね
终于知道生命的尊贵了吗,やっと人の命の尊さを知るのかな
是啊章鱼P。是你，杀了。,そうだタコピー。お前が、殺した。
人类的话章鱼P的表情就很好懂了,人間だとタコピーの表情がよく分かるね
不存在的记忆…？,存在しない記憶…？
是隔代遗传皮哦,隔世遺伝だッピよ
真的毒亲就是这样给孩子洗脑的，只是打的话还能离家出走,マジで毒親はこうやって子を洗脳する　ただ殴るだけなら親離れできるのに
啊嘞，为什么黑发和茶发生出了金发？,あれ、なんで黒髪と茶髪から金髪が生まれたの？
金发的孩子好可怜,金髪の子かわいそう
金发是天生的吗…,金髪地毛だったのか…
还给我…😭,戻して…😭
是地狱家庭的三足鼎立战斗漫画吗,地獄家庭の三つ巴バトル漫画かよ
妈妈难道是混血吗？,ママひょっとしてハーフなのか？
虽然看起来是和平的家庭，但茉莉奈妈妈的项链像捕梦网。难道从那时候就开始了？,平和な家庭に見えるが、まりなママのペンダントがドリームキャッチャーっぽいな。まさかこの頃から？
只是喜欢对自己方便的茉莉酱的臭女人,都合の良いまりちゃんが好きなだけのクソ女
发色不是颜料，是血缘里有金发吧,髪の色は絵の具じゃねえんだ血縁に金髪がいたんだろ
别搞回忆了…,回想はやめてくれ…
祖父母里有金发的话就会隐性遗传云云,祖父母の誰かが金髪だったら潜性遺伝でｳﾝﾀﾗ
这个确实会让人想说还给我！,これは確かに返して！ってなるわ
这是托卵吧？,これ托卵では？
金发w,金髪ｗ
那也是那也是因为有个叫久世的婊子不好哦〜,それもそれも久世っていうアバズレが悪いんですよ〜
来一份带番茄酱的茉莉奈,ケチャップ付きまりなのご注文でーす
真是个讨厌的星球・・・,なんて嫌な星だろう・・・
回忆是死亡FLAG,回想は死亡フラグ
不这个演出太狡猾了,いやこの演出はずるい
←已经死了啊・・・,←もう死んでんだよなぁ・・・
那时候好瘦啊,痩せてるなこの頃は
(不存在的记忆),(存在しない記憶)
全员都还给我,全員もどして
年轻的妈妈普通地很可爱,若いママ普通に可愛い
何止是FLAG已经死了吧,フラグどころか死んだだろ
话说也是自作自受呢,いうて自業自得だしなあ
妈妈以前很可爱,お母さん昔は可愛い
啊啊啊啊,あぁぁぁあ
住手…(哭),やめてくれ...(泣)
啊…住手哦——！！！,あぁ…やめろぉーー！！！
还给我（认真）,もどして（切実）
这里的爸爸看起来好开心好可爱,ここのお父さん嬉しそうで可愛い
想用好故事来蒙混过去的阶段,いい話っぽくして誤魔化そうとするフェイズ
别把3个人的发色都弄得不一样啊,髪色を3人共不揃いにすんなし
啊啊，这就是地狱吗・・・,あぁ、これが地獄か・・・
明明也有过这种时候,こんな時もあったのに
说起来金发是天生的啊,そういや金髪地毛なんだ
耀眼得，回不去的瞬间。虽然已经被夺走了。,まぶしくて、戻れない瞬間。もう奪われたが。
也有过幸福的时候啊…,しあわせだった頃もあったんだよなあ…
为什么只有回忆场景里茉莉奈酱爸爸的眼睛是好好画出来的……,なんで回想シーンだけまりなちゃんパパの目をちゃんと映すんですか……
茉莉奈酱很可爱所以妈妈也肯定是美人啊,まりなちゃんかわいいからお母さんも美人だったはずなんだよな
好血腥,グロい
别搞以前很和平了,昔は平和なのやめてくれ
已经回不去了,もうもどらない
只要没有那个卖春女就好了・・・！,淫売の女さえいなければ・・・！
还回来（真的）,もどして（ガチ）
爸爸这是怎么了,お父さんどうしちまったんだ
已经回不去了,もう戻れない
艾伦和吉克,エレンとジーク
只能把父母都抹除了吧？,もう両親消すしかなくね？
回不去了哦,戻らないよ
啊啊真是太温馨了,あぁとても微笑ましい
这不就是爸爸你开始的故事吗,これは父さんが始めた物語だろ
别发这种随便截的图了,適当な切り抜きみたいなのやめろ
回不去了,もどらない
这发色也太幻想系了w,髪の色はファンタジーだなぁｗ
给我还回来,もどしてくれ
这发色怎么回事w,髪の色どうなってんのｗ
这真是地狱啊,ほんとに地獄なんだが
从婴儿时期就开始染了,赤ちゃんから染めてる
这个发色，真的是亲生的吗？,この髪の色、本当に実の子か？
明明以前那么好,昔は良かったのに
嗯……？,ん……？
为什么这对父母会生出金发啊…,なんでこの両親から金髪が生まれるんですかねぇ…
金发是天生的吗,金髪地毛なのかよ
为什么会变成这样…,どうしてこうなった…
回不去了啊...,もどらないんだよなぁ...
不要不要不要,やめてやめてやめて
话说为什么是金发啊？真的是这对父母的孩子吗？,ってかなんで髪の色金髪なの？本当に両親の子供か？
还回来,モドシテ
谁,だれ
还给我…,かえして…
你们没有心吗？,人の心とか無いんか？
这里优先给女儿吃手作的辅食，自己吃后面的便当来节省时间，这个细节清晰度很高我喜欢,ここ娘の手作り離乳食優先して自分らは後ろの弁当で時短してるの解像度高くて好き
还以为是因为太猎奇了时间过得慢，结果发现我开的0.75倍速,グロすぎて時間たつの遅くなってるのかなと思ったら0.75倍速で見てた
还——回——来——,もどしてぇぇぇ
还回来・・・,もどして・・・
是天生的吗,地毛なのかよ
还回来（恳求）,もどして（懇願）
回～不～去～了～哦～♪像过去那样～ｗｗｗｗｗｗｗｗ,戻～れな～いよ～♪昔のようには～ｗｗｗｗｗｗｗｗ
等一下。那该不会是蜂蜜吧。,ちょっと待て。それハチミツじゃないだろうな。
这个金发是遗传谁的？,この金髪はどっちの遺伝なの？
这孩子没有父亲的基因吧,これ父親の遺伝子入ってないやろ
一开始是好的，但这设定八成是双方都有错才变成那样的吧,最初はよかった、だが恐らくどっちにも非があってああなったって設定やろ
真的还回来,本当にもどして
真理奈妈妈也病得不轻啊真的,まりなママも病んでるよねほんと
一开始家庭不是不和睦这点更地狱了,最初から家庭不和じゃなかったのがまた地獄
我说，能给观众带来精神伤害的这动画，是神作吗？,あのさ、視聴者にも精神的ダメージが来るってこのアニメ、神アニメ？
我自己家也是这样所以懂,自分ちもこうだから解かる
这发色，是托卵吧,この髪色、托卵じゃね
记忆之旅,記憶ツアー
我觉得真理奈酱的发色只是为了形象和角色设定而已pi,まりなちゃんの髪色はあくまでイメージ兼キャラ付けだと思うっピ
真理奈妈妈是和美国大兵上床了吗？,まりなママ米兵と節句巣でもしたの？
也曾有过这样的时光啊,こんな頃もあったねと
就算妈妈出轨生了孩子8成也是黑发，所以真理奈酱的金发是为了角色设定pi哟,仮にママの不倫で子供出来ても8割は黒髪だから、まりなちゃんの金髪はキャラ付けだっピよ
哇啊、哇啊啊啊,うわぁ、うわぁぁぁ
章鱼P有能理解这个的智能吗？,それを理解する知能がタコピーにあるか？
已 经 回 不 去 了,も　う　戻　ら　な　い
必须发动无限月读（使命感）,無限月詠しなきゃ（使命感）
已经回不去了pi,もう戻らないっピ
爸爸那边也因为是社畜而逐渐崩溃,パパはパパで社畜で壊れていく
还回来,もどせ
只是章鱼P演技太烂了,タコピーが演技下手なだけ
看起来好幸福啊,幸せそうだな
可以啊，有纸袋和塑料袋吗？,いいけど、紙袋とビニールある？
是染的吗？,染めたの？
原来父亲不是同一个人啊…原来如此,父親違うのか…なるほど
章鱼P应该追求的HAPPY,タコピーが目指すべきハッピー
这里真好,ここはよかった
章鱼，你能看到过去吗？,タコ、過去を視れるのか？
莱纳,ライナー
好久没见过这么恳切的“还回来”call了,こんなに切実なもどしてコール久々に見た
太痛苦了…,とてもつらい…
是爸爸吧,お父さんやろ
真的是BW2啊…啊…,ガチでBW2じゃん…あぁ…
回不去了pi呢…,戻らないッピねぇ…
下屏是BW呢w,下画面がBWですねぇｗ
宝可梦BW笑死,ポケモンBWで草
明明也有过这种时期，怎么就变成这样了呢,こんな時期もあったのにどうしてこうなっちゃったんだろ
游戏画面是宝可梦,ゲーム画面ポケモンだ
难道从logo的2来看这是White 2吗？,もしかしてロゴの2的にホワイト2かこれ？
真理奈酱想要夺回的东西,まりなちゃんが取り返したかったもの
还有这样的记忆吗？,こんな記憶あったの？
谁,だれ
有些时髦的父母会从小就给孩子染发……。爸爸只是因为工作不能染，他们就是那样的夫妻吧,お洒落で幼少期から子供の髪を染める親はいる……。父親は仕事で染めれないだけでそういう夫婦なんだろ
P图,コラ画像
DS,DS
BW2真的假的！？,BW２まじ！？
呜哇…好戳心,うっわぁ…心にくる
明明是这么可爱的老婆,こんなに可愛い奥さんなのに
这大概是BW2吧，好怀念,BWなっつ
已经晚了啊！ 什么都！,もう遅ェンだよッ！　何もかもッ！
这大概是BW2吧，好怀念,これたぶんBW2だね、なっつ
为什么会变成这样…,なんでこんなことに…
是BW2世代啊！真不错！(现实逃避),BW2世代か！いいね！(現実逃避)
因为是黑白包装所以是宝可梦吗,白黒パッケージだからポケモｎか
爸爸也曾经很温柔啊,パパも優しかったんだな
从那时候起性格就有点容易发火了吗,この時からちょいキレやすい性格ではあったんか
3个人一起玩DS 关系应该好到能一起玩游戏的程度吧,3人でDSやってる　一緒にゲームするぐらい仲良かったんだろうな
这不是看到过去而是想象出来的哦,過去視ではなく想像したんだよ
话说为什么章鱼P能看到这个记忆？,というかなんでこの記憶がタコピーは見えてるんだ？
在玩宝可梦,ポケモンやってる
波克基斯在哪儿…？,トゲキッスどこぉ…？
还回来（血泪）,もどして（血涙）
以前也和父母一起玩过DS啊,昔は親とDSで遊んでたなぁ
家庭崩溃…,家庭崩壊…
恢复成这里原来的样子,ここへ元通りにしろ
这个在进击里看过,これ進撃で見た
这时候关系还很好,このときは仲良かった
一家三口玩DS关系相当好了...,家族3人でDSは相当仲良いな...
还想BW是什么原来是这个啊w,BWってなんのことかと思ったらそこかよｗ
这是进击的巨人的能力吗,これが進撃の巨人の能力か
幸福是什么来着？,幸せってなんだっけ？
能看出作者的年代了呢,作者の世代がわかっちゃうね
你不也是托卵吗,お前も托卵じゃねーか
是bw啊,ｂｗじゃん
bw2!?,bw2!?
为什么是金发？,なんで金髪なんだ？
因为以前父母很温柔所以无法讨厌他们，矛头就指向了静香酱,昔は優しかったから両親を嫌いになれなくて矛先がしずかちゃんに行ったんや
一开始是好的,最初はよかった
“还回来”的正确用法,もどしての正しい使い方
明明是被人期盼着出生的,望まれて生まれてきたのに
小べ太可爱了,べーがかわいすぎる
也曾有过这样的日子啊…,こういう日々もあったんだなぁ…
从外表看大概是小学刚入学的时候所以是BW2吧 正好是那个时候发售的宝可梦，可能XY也快出了,見た目的に小学校入ったぐらいだからBW2なんだろうね　丁度そのころ発売されてたポケモンもうすぐXYが出るころかも
真实存在过的回忆,存在した思い出
能和父母一起玩游戏的家庭关系都很好。出处就是完全没玩过的我家,親とゲームできる家は仲がいい。ソースは全くできなかった俺の家
和なっちゃん联动指日可待,なっちゃんコラボ待ったなし
还回来,戻して
果汁瓶子上的脸是章鱼,ジュースのボトルの顔タコやん
明明曾经那么要好ー,あんなに一緒だったのにー
妈妈这个时候真是个美人,ママんこの頃はほんと美人だった
让时光倒流吧,時を戻そう
这里玩的DS是宝可梦BW（历代最差毒亲登场的那作）的考察让我颤抖,ここでやってるDS、ポケモンBW(歴代最悪の毒親登場のやつ)って考察見て震えた
这里的なっちゃん橙汁，是章鱼P脸,ここのなっちゃんオレンジ、タコピー顔だ
因为工作应酬去了牛郎店结果沉迷了的说法,仕事の付き合いでキャバ行ったらハマっちゃった説
以前的真理奈酱妈妈好美啊……(现实逃避),昔のまりなちゃんママ美人だなぁ……(現実逃避)
为什么会变成这样呢,なんでこうなったんだろうな
暴击求不要,クリティカルヒットやめて
回忆杀求不要,回想だけはやめて
求求了别搞这种真的顶不住,やめてこういうのほんとやめて効く
是先开始逛牛郎店还是先开始精神不稳定的呢,キャバクラ通いとメンヘラ化、どっちが先だったんだろな
这时候的妈妈好可爱啊，是因为压力变成大妈了吗,このときのママン可愛いじゃん、ストレスでおばさん化しちゃったか
妈妈好美,ママ美人だ
可能是在妈妈还可爱（年轻）的时候是个好父亲吧,母親が可愛い(若い)間はいい父だったんじゃねこれ
这个时候还是个过得去的男人吧,この頃はまだマシな男だったのかな
真理奈酱在看妈妈的脸色已经、、、,まりなちゃんがお母さんの顔色伺ってんのがもう、、、
妈妈呢 曾经是个很温柔的妈妈哦,お母さんゎね　本当は優しいお母さんだったんだよ
被侵蚀的橙汁,侵食されたオレンジジュース
即便如此还是会长成垃圾一样的霸凌人,それでもカスみたいな虐め野郎に育つんだもんなあ
为什么会变成这样？从什么时候开始…,どうしてこうなった？いつから…
荒北君・・・,荒北くん・・・
爸爸...,パパ...
还给我,もどしてくれ
感觉就是个普通的家庭…,普通の家庭って感じ…
从这个描写来看，果然还是父亲的错在先吧,この描写からやっぱ父親の非の方が先っぽいよな
翻盖手机,ガラケー
因为有和真理奈爸爸的幸福回忆，所以才会认为是静香那边的错吧,まりなパパとの幸せな思い出があると、しずか側のせいと思い込んじゃうんだろうな
这里拍照的时候来了电话真是恶心，是从这个时候开始的吗,ここ写真撮るタイミングで着信来てんのグロ、この時期から始まったんかな
让时光倒流吧,時を戻そう
来电话了流着汗马上挂断，这不是工作而是牛郎店的电话吗…？,電話来て汗かいて即切りしてるからこれ仕事じゃなくてキャバクラの電話なのか…？
在这里来电话真是最棒的罪犯啊,ここで着信くるの最高に犯罪者やな
